Weight,Id
1.163660239,樊纲
1.162803587,天镜
1.161914536,李文秀
1.159310286,绿竹翁
1.158261098,封不平
1.157348024,武敦儒
1.155592748,康广陵
1.155302895,耿万钟
1.153767201,天山童姥
1.150769359,殷仲翔
1.150329771,玄寂
1.148461811,冯难敌
1.148019366,郑起云
1.145539897,韩林儿
1.142304538,木桑道长
1.14142921,左子穆
1.138817518,丁勉
1.135099075,达尔巴
1.130965794,王元霸
1.125527633,渔人
1.125441978,李志常
1.122102598,徐长老
1.121652301,封万里
1.121234544,林兴珠
1.115230583,杨溢之
1.104356135,侯通海
1.102715612,唐文亮
1.101937513,上官云
1.096363341,荣彩
1.094081133,霍元龙
1.091042731,陈玄风
1.089775064,海兰弼
1.088917364,陆乘风
1.086186893,段天德
1.085812447,玉真子
1.082124644,仇松年
1.081375334,马行空
1.081309788,包惜弱
1.079235436,古笃诚
1.077796095,乾隆皇帝
1.077176689,马大挺
1.072062438,西华子
1.069655283,张勇
1.067445532,红娘子
1.06715536,顾金标
1.066227058,马超兴
1.066151943,甘宝宝
1.06559798,朱长龄
1.065235985,汤和
1.063207641,吴国栋
1.061718885,博尔术
1.061341591,张朝唐
1.058614445,焦文期
1.057700175,掌棒龙头
1.053047456,张阿生
1.052758287,程瑶迦
1.051971491,车尔库
1.051732249,裘千尺
1.051068839,周大奶奶
1.047983161,花铁干
1.047049541,梁子翁
1.046080701,刘一舟
1.045074778,矮老者
1.044782272,渡难
1.044645203,朱九真
1.044517465,公孙止
1.044011398,觉远
1.042197832,铁木真
1.042083243,褚万里
1.042049542,温青
1.040674693,苗若兰
1.039897541,应松
1.038436623,刘处玄
1.037697727,谭处端
1.036515263,宗维侠
1.034353228,喀丝丽
1.032791142,巴泰
1.031098537,掌钵龙头
1.030855764,小沙弥
1.030555187,孟伯飞
1.027593091,游迅
1.026467509,平一指
1.023550263,武青婴
1.021572062,王万仞
1.020199658,倪浩
1.019716444,不平道人
1.017077169,彼得
1.014846328,阎基
1.013088854,苏冈
1.012435665,波罗星
1.011052178,华赫艮
1.010989955,吕七
1.009018131,札木合
1.0032337,司徒千钟
1.000029443,李萍
0.999285572,李秋水
0.99684175,白寒枫
0.996212538,温方悟
0.994820791,定静师太
0.993803881,大头鬼
0.992086778,于嫂
0.991702282,商老太
0.990709052,吊死鬼
0.9865459,刘元鹤
0.986266556,瘦头陀
0.983447885,石万嗔
0.983402955,袁士霄
0.982816679,玄苦
0.982287817,司空玄
0.981988449,花万紫
0.981322105,博尔忽
0.981095566,觉远大师
0.981055889,哈合台
0.980385734,静玄师太
0.979187739,戚长发
0.97720591,平阿四
0.975404628,都史
0.97512386,谭公
0.974863082,白世镜
0.971985806,杨鹏举
0.970189218,阳顶天
0.965177356,阿二
0.96263364,孙婆婆
0.960847012,耶律洪基
0.958553983,玉如意
0.95731107,冷谦
0.957049602,鲍大楚
0.956661983,阿曼
0.956395401,温方义
0.954292039,周圻
0.953648204,郭啸天
0.949809904,霍阿伊
0.945874928,祁清彪
0.945500469,苏鲁克
0.943761808,本因
0.943545756,枯木
0.938683923,过彦之
0.936617282,邓愈
0.936067037,钱正伦
0.932625494,言达平
0.930024662,范一飞
0.929968015,言伯乾
0.927799235,关安基
0.92709852,高升泰
0.925934742,范百龄
0.925458409,施戴子
0.922894128,苏荃
0.922796029,白寒松
0.921958679,黑熊
0.912729068,成自学
0.907265491,汪铁鹗
0.906666982,桑昆
0.906035583,平四
0.904861514,刀白凤
0.901548298,大癫
0.899842208,顾炎武
0.898551171,黑白子
0.89851931,苏普
0.898149685,辛双清
0.897278223,高三娘子
0.896350904,罗人杰
0.896146249,万庆澜
0.89375286,李三
0.891284404,史仲猛
0.890266175,白龟寿
0.889324565,倪不小
0.889324565,倪不大
0.889268686,完颜萍
0.88579077,吴坎
0.885428549,灵智上人
0.885218789,秦耐之
0.884643744,呼延万善
0.884549608,郭玉堂
0.882771626,张康
0.88247986,王罕
0.881975335,宋长老
0.876543051,大痴
0.875550868,王难姑
0.87518187,曾铁鸥
0.875127973,黄伯流
0.872706476,水笙
0.871765583,司徒鹤
0.869927651,陶百岁
0.869821907,熊元献
0.868456439,陶红英
0.866565603,高老者
0.865686896,马夫人
0.861528733,玄痛
0.859586623,朱祖荫
0.857452442,无青子
0.856140361,凌退思
0.854368236,黄钟公
0.85260137,史登达
0.851211444,桑飞虹
0.850968939,司徒伯雷
0.850551206,沈城
0.849841616,静虚师太
0.849707755,澄光
0.849481782,卜垣
0.847725854,刘鹤真
0.846082276,玉磬子
0.844148956,无崖子
0.843181259,温方施
0.841914638,室里
0.839249404,吴平
0.838527615,梁发
0.83704425,孙思克
0.836326556,白熊
0.835800812,都大锦
0.834634605,陈禹
0.832701398,农妇
0.832663477,方人智
0.831129475,吴领军
0.830628319,萧远山
0.82689968,梁长老
0.825456928,罗大千
0.82211836,赵良栋
0.821385987,段正明
0.821090727,李西华
0.820860348,卢一峰
0.819499697,玉音子
0.818504631,武烈
0.815096684,卫璧
0.81369038,严三星
0.812815966,桃红
0.812447164,吕留良
0.81157695,向大年
0.810792658,单正
0.809510334,玉玑子
0.80835459,刘宗敏
0.807438429,夏国相
0.804508676,杨夫人
0.804391156,梁自进
0.804391156,齐自勉
0.803354752,曹云奇
0.802336962,傅思归
0.801177041,天虚
0.79957663,方有德
0.799356878,鲁坤
0.798158308,文醉翁
0.796911603,吴劲草
0.796637591,冯阿三
0.796304763,术赤
0.796039149,何三七
0.795856947,阿凡提
0.795716653,孙均
0.789302583,于人豪
0.788762928,玄生
0.787536303,赵一伤
0.787482017,任飞燕
0.787482017,林玉龙
0.786970537,王志坦
0.779146884,孙三毁
0.779146884,李四摧
0.777608928,鲜于通
0.777378122,彭长老
0.775892597,史季强
0.769632077,温南扬
0.768042432,圆音
0.761664557,钱二败
0.760665685,温正
0.760357014,鹿清笃
0.760344058,宋善朋
0.757560565,桑土公
0.755817079,大智禅师
0.755347556,陶子安
0.754841795,褚圆
0.753595479,血刀老祖
0.753244949,洪人雄
0.752612649,瑞栋
0.75165393,水鉴
0.751474954,黎刚
0.750633441,木华黎
0.749930447,冯不摧
0.749912188,闻万夫
0.749769981,柯万钧
0.749483073,丹青生
0.748089412,行痴
0.746004126,张九
0.743329443,钱通四
0.742212923,常敬之
0.740811277,察合台
0.740806928,陈冲之
0.740402502,耶律燕
0.739447015,冯坦
0.738053038,玉林
0.737557222,周英杰
0.736132167,吴道通
0.734509151,吴良
0.733979347,温仪
0.732673197,哑婆婆
0.731039427,侍剑
0.730368237,廖自砺
0.728803474,瑞婆婆
0.728206067,于八
0.726369045,德布
0.724654199,谭婆
0.722615945,桑斯
